Clusters,With Incentive - 5Y,incentive
Low Frequency Low Mileage,0.006444987,1500
All,0.123227326,1500
Ultra High Mileage,0.14627323,1600
High Frequency High Mileage,0.679024865,1600
Low Frequency High Mileage,0.057753595,1600
Low Frequency Low Mileage,0.007576864,1600
All,0.126873564,1600
Ultra High Mileage,0.148198834,1700
High Frequency High Mileage,0.691451475,1700
Low Frequency High Mileage,0.064330636,1700
Low Frequency Low Mileage,0.010150383,1700
All,0.131966705,1700
Ultra High Mileage,0.150227379,1800
High Frequency High Mileage,0.704336838,1800
Low Frequency High Mileage,0.071382892,1800
Low Frequency Low Mileage,0.013036022,1800
All,0.137423485,1800
Ultra High Mileage,0.152292256,1900
High Frequency High Mileage,0.717081356,1900
Low Frequency High Mileage,0.07889093,1900
Low Frequency Low Mileage,0.016154868,1900
All,0.143113761,1900
Ultra High Mileage,0.154423742,2000
High Frequency High Mileage,0.729556256,2000
Low Frequency High Mileage,0.086941314,2000
Low Frequency Low Mileage,0.019644725,2000
All,0.14911354,2000
Ultra High Mileage,0.156258515,2100
High Frequency High Mileage,0.741874213,2100
Low Frequency High Mileage,0.095276119,2100
Low Frequency Low Mileage,0.023454946,2100
All,0.155301974,2100
Ultra High Mileage,0.15827495,2200
High Frequency High Mileage,0.753121743,2200
Low Frequency High Mileage,0.104310497,2200
Low Frequency Low Mileage,0.027809317,2200
All,0.161830534,2200
Ultra High Mileage,0.160164221,2300
High Frequency High Mileage,0.763673093,2300
Low Frequency High Mileage,0.113834223,2300
Low Frequency Low Mileage,0.032581811,2300
All,0.168598604,2300
Ultra High Mileage,0.162186711,2400
High Frequency High Mileage,0.773914583,2400
Low Frequency High Mileage,0.124080486,2400
Low Frequency Low Mileage,0.03789492,2400
All,0.175811244,2400
Ultra High Mileage,0.164439304,2500
High Frequency High Mileage,0.784244605,2500
Low Frequency High Mileage,0.135296612,2500
Low Frequency Low Mileage,0.04425746,2500
All,0.183844124,2500
Ultra High Mileage,0.166425462,2600
High Frequency High Mileage,0.79393076,2600
Low Frequency High Mileage,0.147752888,2600
Low Frequency Low Mileage,0.052145267,2600
All,0.192857463,2600
Ultra High Mileage,0.168714387,2700
High Frequency High Mileage,0.803202427,2700
Low Frequency High Mileage,0.160700279,2700
Low Frequency Low Mileage,0.060663202,2700
All,0.20228639,2700
Ultra High Mileage,0.170912482,2800
High Frequency High Mileage,0.812232645,2800
Low Frequency High Mileage,0.174635198,2800
Low Frequency Low Mileage,0.070042119,2800
All,0.212379712,2800
Ultra High Mileage,0.173552618,2900
High Frequency High Mileage,0.820474127,2900
Low Frequency High Mileage,0.189520546,2900
Low Frequency Low Mileage,0.080616514,2900
All,0.223254995,2900
Ultra High Mileage,0.176507633,3000
High Frequency High Mileage,0.828285023,3000
Low Frequency High Mileage,0.205852736,3000
Low Frequency Low Mileage,0.093104854,3000
All,0.235436646,3000
Ultra High Mileage,0.179874412,3100
High Frequency High Mileage,0.835504368,3100
Low Frequency High Mileage,0.223350882,3100
Low Frequency Low Mileage,0.107851059,3100
All,0.24898427,3100
Ultra High Mileage,0.183768007,3200
High Frequency High Mileage,0.842144234,3200
Low Frequency High Mileage,0.24340176,3200
Low Frequency Low Mileage,0.126321505,3200
All,0.265019954,3200
Ultra High Mileage,0.18796437,3300
High Frequency High Mileage,0.84794305,3300
Low Frequency High Mileage,0.263081652,3300
Low Frequency Low Mileage,0.149201679,3300
All,0.282901176,3300
Ultra High Mileage,0.194885645,3400
High Frequency High Mileage,0.853307257,3400
Low Frequency High Mileage,0.284671236,3400
Low Frequency Low Mileage,0.179337175,3400
All,0.304928984,3400
Ultra High Mileage,0.197380452,3500
High Frequency High Mileage,0.858538666,3500
Low Frequency High Mileage,0.303540261,3500
Low Frequency Low Mileage,0.216870507,3500
All,0.329131519,3500
Ultra High Mileage,0.199245502,3600
High Frequency High Mileage,0.862993412,3600
Low Frequency High Mileage,0.320829947,3600
Low Frequency Low Mileage,0.233470588,3600
All,0.34296404,3600
Ultra High Mileage,0.201425431,3700
High Frequency High Mileage,0.866929042,3700
Low Frequency High Mileage,0.340363212,3700
Low Frequency Low Mileage,0.250870403,3700
All,0.357820219,3700
Ultra High Mileage,0.204204841,3800
High Frequency High Mileage,0.870442135,3800
Low Frequency High Mileage,0.361136629,3800
Low Frequency Low Mileage,0.272560987,3800
All,0.375049078,3800
Ultra High Mileage,0.206602762,3900
High Frequency High Mileage,0.8733677,3900
Low Frequency High Mileage,0.383383387,3900
Low Frequency Low Mileage,0.298254954,3900
All,0.394478366,3900
Ultra High Mileage,0.209842379,4000
High Frequency High Mileage,0.875919018,4000
Low Frequency High Mileage,0.407979719,4000
Low Frequency Low Mileage,0.326331634,4000
All,0.415766317,4000
Ultra High Mileage,0.212282688,4100
High Frequency High Mileage,0.878043775,4100
Low Frequency High Mileage,0.431604424,4100
Low Frequency Low Mileage,0.36370125,4100
All,0.440937829,4100
Ultra High Mileage,0.214523171,4200
High Frequency High Mileage,0.87986672,4200
Low Frequency High Mileage,0.455290959,4200
Low Frequency Low Mileage,0.385481348,4200
All,0.458831629,4200
Ultra High Mileage,0.217296525,4300
High Frequency High Mileage,0.881323466,4300
Low Frequency High Mileage,0.483565346,4300
Low Frequency Low Mileage,0.41396084,4300
All,0.481254245,4300
Ultra High Mileage,0.220814688,4400
High Frequency High Mileage,0.882393893,4400
Low Frequency High Mileage,0.515680317,4400
Low Frequency Low Mileage,0.450392918,4400
All,0.508572597,4400
Ultra High Mileage,0.225174546,4500
High Frequency High Mileage,0.883484441,4500
Low Frequency High Mileage,0.550454015,4500
Low Frequency Low Mileage,0.494317058,4500
All,0.540271029,4500
Ultra High Mileage,0.22973423,4600
High Frequency High Mileage,0.88425708,4600
Low Frequency High Mileage,0.587967707,4600
Low Frequency Low Mileage,0.551627029,4600
All,0.579007116,4600
Ultra High Mileage,0.236025747,4700
High Frequency High Mileage,0.884880824,4700
Low Frequency High Mileage,0.627156132,4700
Low Frequency Low Mileage,0.614900263,4700
All,0.621166337,4700
Ultra High Mileage,0.242190102,4800
High Frequency High Mileage,0.885452255,4800
Low Frequency High Mileage,0.665650284,4800
Low Frequency Low Mileage,0.685799829,4800
All,0.666632763,4800
Ultra High Mileage,0.247264492,4900
High Frequency High Mileage,0.885919058,4900
Low Frequency High Mileage,0.698205137,4900
Low Frequency Low Mileage,0.758143392,4900
All,0.710818523,4900
Ultra High Mileage,0.251139921,5000
High Frequency High Mileage,0.886188677,5000
Low Frequency High Mileage,0.724870155,5000
Low Frequency Low Mileage,0.797192568,5000
All,0.737588408,5000
Ultra High Mileage,0.255306008,5100
High Frequency High Mileage,0.886426102,5100
Low Frequency High Mileage,0.751128856,5100
Low Frequency Low Mileage,0.844870394,5100
All,0.768260447,5100
Ultra High Mileage,0.258624344,5200
High Frequency High Mileage,0.886623286,5200
Low Frequency High Mileage,0.773539907,5200
Low Frequency Low Mileage,0.884348293,5200
All,0.793852468,5200
Ultra High Mileage,0.262838873,5300
High Frequency High Mileage,0.886768156,5300
Low Frequency High Mileage,0.795104759,5300
Low Frequency Low Mileage,0.92876358,5300
All,0.821548678,5300
Ultra High Mileage,0.266447866,5400
High Frequency High Mileage,0.886921074,5400
Low Frequency High Mileage,0.810864573,5400
Low Frequency Low Mileage,0.98172507,5400
All,0.851362199,5400
Ultra High Mileage,0.266690081,5500
High Frequency High Mileage,0.886949243,5500
Low Frequency High Mileage,0.815270466,5500
Low Frequency Low Mileage,0.987615308,5500
All,0.855486364,5500
Ultra High Mileage,0.267065513,5600
High Frequency High Mileage,0.886977412,5600
Low Frequency High Mileage,0.818929089,5600
Low Frequency Low Mileage,0.990164093,5600
All,0.857839905,5600
Ultra High Mileage,0.267344059,5700
High Frequency High Mileage,0.887009606,5700
Low Frequency High Mileage,0.822435784,5700
Low Frequency Low Mileage,0.992632787,5700
All,0.860101032,5700
Ultra High Mileage,0.267555997,5800
High Frequency High Mileage,0.887021678,5800
Low Frequency High Mileage,0.825394834,5800
Low Frequency Low Mileage,0.994885941,5800
All,0.862083824,5800
Ultra High Mileage,0.267592329,5900
High Frequency High Mileage,0.887025702,5900
Low Frequency High Mileage,0.826039642,5900
Low Frequency Low Mileage,0.995294641,5900
All,0.862476992,5900
Ultra High Mileage,0.267592329,6000
High Frequency High Mileage,0.887025702,6000
Low Frequency High Mileage,0.826039642,6000
Low Frequency Low Mileage,0.995294641,6000
All,0.862476992,6000
Ultra High Mileage,0.267592329,6100
High Frequency High Mileage,0.887025702,6100
Low Frequency High Mileage,0.826039642,6100
Low Frequency Low Mileage,0.995294641,6100
All,0.862476992,6100
Ultra High Mileage,0.267592329,6200
High Frequency High Mileage,0.887025702,6200
Low Frequency High Mileage,0.826039642,6200
Low Frequency Low Mileage,0.995294641,6200
All,0.862476992,6200
Ultra High Mileage,0.267592329,6300
High Frequency High Mileage,0.887025702,6300
Low Frequency High Mileage,0.826039642,6300
Low Frequency Low Mileage,0.995294641,6300
All,0.862476992,6300
Ultra High Mileage,0.267592329,6400
High Frequency High Mileage,0.887025702,6400
Low Frequency High Mileage,0.826039642,6400
Low Frequency Low Mileage,0.995294641,6400
All,0.862476992,6400
Ultra High Mileage,0.267592329,6500
High Frequency High Mileage,0.887025702,6500
Low Frequency High Mileage,0.826039642,6500
Low Frequency Low Mileage,0.995294641,6500
All,0.862476992,6500
Ultra High Mileage,0.267592329,6600
High Frequency High Mileage,0.887025702,6600
Low Frequency High Mileage,0.826039642,6600
Low Frequency Low Mileage,0.995294641,6600
All,0.862476992,6600
Ultra High Mileage,0.267592329,6700
High Frequency High Mileage,0.887025702,6700
Low Frequency High Mileage,0.826039642,6700
Low Frequency Low Mileage,0.995294641,6700
All,0.862476992,6700
Ultra High Mileage,0.267592329,6800
High Frequency High Mileage,0.887025702,6800
Low Frequency High Mileage,0.826039642,6800
Low Frequency Low Mileage,0.995294641,6800
All,0.862476992,6800
Ultra High Mileage,0.267592329,6900
High Frequency High Mileage,0.887025702,6900
Low Frequency High Mileage,0.826039642,6900
Low Frequency Low Mileage,0.995294641,6900
All,0.862476992,6900
Ultra High Mileage,0.267592329,7000
High Frequency High Mileage,0.887025702,7000
Low Frequency High Mileage,0.826039642,7000
Low Frequency Low Mileage,0.995294641,7000
All,0.862476992,7000
Ultra High Mileage,0.267592329,7100
High Frequency High Mileage,0.887025702,7100
Low Frequency High Mileage,0.826039642,7100
Low Frequency Low Mileage,0.995294641,7100
All,0.862476992,7100
Ultra High Mileage,0.267592329,7200
High Frequency High Mileage,0.887025702,7200
Low Frequency High Mileage,0.826039642,7200
Low Frequency Low Mileage,0.995294641,7200
All,0.862476992,7200
Ultra High Mileage,0.267592329,7300
High Frequency High Mileage,0.887025702,7300
Low Frequency High Mileage,0.826039642,7300
Low Frequency Low Mileage,0.995294641,7300
All,0.862476992,7300
Ultra High Mileage,0.267592329,7400
High Frequency High Mileage,0.887025702,7400
Low Frequency High Mileage,0.826039642,7400
Low Frequency Low Mileage,0.995294641,7400
All,0.862476992,7400
Ultra High Mileage,0.267592329,7500
High Frequency High Mileage,0.887025702,7500
Low Frequency High Mileage,0.826039642,7500
Low Frequency Low Mileage,0.995294641,7500
All,0.862476992,7500
Ultra High Mileage,0.267592329,7600
High Frequency High Mileage,0.887025702,7600
Low Frequency High Mileage,0.826039642,7600
Low Frequency Low Mileage,0.995294641,7600
All,0.862476992,7600
Ultra High Mileage,0.267592329,7700
High Frequency High Mileage,0.887025702,7700
Low Frequency High Mileage,0.826039642,7700
Low Frequency Low Mileage,0.995294641,7700
All,0.862476992,7700
Ultra High Mileage,0.267592329,7800
High Frequency High Mileage,0.887025702,7800
Low Frequency High Mileage,0.826039642,7800
Low Frequency Low Mileage,0.995294641,7800
All,0.862476992,7800
Ultra High Mileage,0.267592329,7900
High Frequency High Mileage,0.887025702,7900
Low Frequency High Mileage,0.826039642,7900
Low Frequency Low Mileage,0.995294641,7900
All,0.862476992,7900
Ultra High Mileage,0.267592329,8000
High Frequency High Mileage,0.887025702,8000
Low Frequency High Mileage,0.826039642,8000
Low Frequency Low Mileage,0.995294641,8000
All,0.862476992,8000
Ultra High Mileage,0.267592329,8100
High Frequency High Mileage,0.887025702,8100
Low Frequency High Mileage,0.826039642,8100
Low Frequency Low Mileage,0.995294641,8100
All,0.862476992,8100
Ultra High Mileage,0.267592329,8200
High Frequency High Mileage,0.887025702,8200
Low Frequency High Mileage,0.826039642,8200
Low Frequency Low Mileage,0.995294641,8200
All,0.862476992,8200
Ultra High Mileage,0.267592329,8300
High Frequency High Mileage,0.887025702,8300
Low Frequency High Mileage,0.826039642,8300
Low Frequency Low Mileage,0.995294641,8300
All,0.862476992,8300
Ultra High Mileage,0.267592329,8400
High Frequency High Mileage,0.887025702,8400
Low Frequency High Mileage,0.826039642,8400
Low Frequency Low Mileage,0.995294641,8400
All,0.862476992,8400
Ultra High Mileage,0.267592329,8500
High Frequency High Mileage,0.887025702,8500
Low Frequency High Mileage,0.826039642,8500
Low Frequency Low Mileage,0.995294641,8500
All,0.862476992,8500
Ultra High Mileage,0.267592329,8600
High Frequency High Mileage,0.887025702,8600
Low Frequency High Mileage,0.826039642,8600
Low Frequency Low Mileage,0.995294641,8600
All,0.862476992,8600
Ultra High Mileage,0.267592329,8700
High Frequency High Mileage,0.887025702,8700
Low Frequency High Mileage,0.826039642,8700
Low Frequency Low Mileage,0.995294641,8700
All,0.862476992,8700
Ultra High Mileage,0.267592329,8800
High Frequency High Mileage,0.887025702,8800
Low Frequency High Mileage,0.826039642,8800
Low Frequency Low Mileage,0.995294641,8800
All,0.862476992,8800
Ultra High Mileage,0.267592329,8900
High Frequency High Mileage,0.887025702,8900
Low Frequency High Mileage,0.826039642,8900
Low Frequency Low Mileage,0.995294641,8900
All,0.862476992,8900
Ultra High Mileage,0.267592329,9000
High Frequency High Mileage,0.887025702,9000
Low Frequency High Mileage,0.826039642,9000
Low Frequency Low Mileage,0.995294641,9000
All,0.862476992,9000
Ultra High Mileage,0.267592329,9100
High Frequency High Mileage,0.887025702,9100
Low Frequency High Mileage,0.826039642,9100
Low Frequency Low Mileage,0.995294641,9100
All,0.862476992,9100
Ultra High Mileage,0.267592329,9200
High Frequency High Mileage,0.887025702,9200
Low Frequency High Mileage,0.826039642,9200
Low Frequency Low Mileage,0.995294641,9200
All,0.862476992,9200
Ultra High Mileage,0.267592329,9300
High Frequency High Mileage,0.887025702,9300
Low Frequency High Mileage,0.826039642,9300
Low Frequency Low Mileage,0.995294641,9300
All,0.862476992,9300
Ultra High Mileage,0.267592329,9400
High Frequency High Mileage,0.887025702,9400
Low Frequency High Mileage,0.826039642,9400
Low Frequency Low Mileage,0.995294641,9400
All,0.862476992,9400
Ultra High Mileage,0.267592329,9500
High Frequency High Mileage,0.887025702,9500
Low Frequency High Mileage,0.826039642,9500
Low Frequency Low Mileage,0.995294641,9500
All,0.862476992,9500
Ultra High Mileage,0.267592329,9600
High Frequency High Mileage,0.887025702,9600
Low Frequency High Mileage,0.826039642,9600
Low Frequency Low Mileage,0.995294641,9600
All,0.862476992,9600
Ultra High Mileage,0.267592329,9700
High Frequency High Mileage,0.887025702,9700
Low Frequency High Mileage,0.826039642,9700
Low Frequency Low Mileage,0.995294641,9700
All,0.862476992,9700
Ultra High Mileage,0.267592329,9800
High Frequency High Mileage,0.887025702,9800
Low Frequency High Mileage,0.826039642,9800
Low Frequency Low Mileage,0.995294641,9800
All,0.862476992,9800
Ultra High Mileage,0.267592329,9900
High Frequency High Mileage,0.887025702,9900
Low Frequency High Mileage,0.826039642,9900
Low Frequency Low Mileage,0.995294641,9900
All,0.862476992,9900
Ultra High Mileage,0.267592329,10000
High Frequency High Mileage,0.887025702,10000
Low Frequency High Mileage,0.826039642,10000
Low Frequency Low Mileage,0.995294641,10000
All,0.862476992,10000
